id	filename	md5	size	state
4216db65-caf4-4179-8e54-15082d5ee37f	TCGA-DD-AAVS-01A-01-TS1.0DA11FCD-76FE-4814-AC2D-22DBA4D1DC69.svs	826639974287b45988747581ba087fb6	273116161	live
f7b08f27-8dcb-4ad8-a319-d129ea8a221a	TCGA-G3-A7M8-01A-01-TSA.5BDEDD7F-9774-4E22-BA80-E0357F4A31AD.svs	59787a766aedbf655b80e5129baefe85	139812017	live
06823786-5d6f-4cc4-a00a-e52499765008	TCGA-ES-A2HS-11A-01-TSA.0F0A1F59-FF9D-43D8-9DBE-FEE01197806A.svs	960f7860a2fa2cd0d66c7f30533db522	57940691	live
5b3ef31a-d3a1-4b7d-a384-538eab6bbe84	TCGA-MR-A520-01A-01-TS1.AB205181-4866-4642-8B1C-F175B47F3D01.svs	8beff234d7aee114051bb85a06cc1a55	369685275	live
3bdd77d6-2204-49df-aa52-18893bc1872c	TCGA-DD-A3A9-11A-01-TS1.FA6C0520-88B9-4C59-9643-1B956FA768D2.svs	12f253035a0fffd4d4733e26897521ea	95642955	live
96ae1783-cba2-4b0d-8639-7a5114b5b37c	TCGA-ED-A7XO-01A-01-TSA.33A55F27-B4FF-4CCC-9D2E-FC6BE4CAE19A.svs	5e24631da7e1b537dbab5c13c945e276	123096293	live
e32ef29f-4ddd-461a-9c64-08142149301f	TCGA-DD-A4NL-01A-01-TS1.640F38A0-B43A-406B-854E-1EF1877E8576.svs	7a89dae72ab6f8384cbe16345dd6fcc2	265040371	live
61cf7b2d-f56a-4f31-ba2b-641236fef68c	TCGA-LG-A6GG-11A-01-TSA.14720138-2FEC-4C04-B11F-155C4398D1F3.svs	38b479617d5b51cbedf889fb64ebf77a	161683697	live
42459162-2df7-4fc0-8caa-8954b02d4449	TCGA-DD-A39V-11A-01-TS1.2364B1CE-6CD0-4687-A771-CADCBCB891BC.svs	3df2d7ae8b380121ac6ecdb960316310	35687295	live
8d5f97e3-3211-48ca-a125-85cdffdffed5	TCGA-BC-A110-11A-01-TS1.08bd00bd-2b69-448f-80e9-fa0bae6b37ca.svs	9ac617f932816e48100d04e4c03f4d91	139227187	live
89636464-19e1-4d01-8f9e-128f37b1405d	TCGA-DD-AAE1-01A-01-TS1.D047D507-5EA1-49D3-BB75-2B17C3A7A047.svs	a6adda4fc3d05885dd367e04d812f165	173128821	live
7b61b459-e3f6-4070-b0bf-bda1d5f4391b	TCGA-EP-A3RK-01A-01-TS1.B97A5A42-079E-4F17-AF88-B1921622FEB8.svs	7e0cfccee37ddabf98a2c8eafbf0e82b	669519297	live
28a4a8f2-dc0c-448d-8591-a8fb6d6da11f	TCGA-BC-A10T-01A-01-BSA.6b238eff-eec7-4c53-a01a-619ca480b218.svs	3cb38a600f5049f126b826acff775b01	217078635	live
1a0e545c-dd2e-439f-b379-30a0d23be771	TCGA-DD-AACY-01A-01-TS1.4F0EDE76-5C7B-491C-B9BA-6F9E6BACC8C4.svs	588679d2916aa1e7ff2e62df7c0efd0f	210112193	live
3cd62718-0b5a-4d88-bdbb-b5207bf9c423	TCGA-FV-A3I0-01A-01-TS1.50B6F5C8-80A4-4884-B169-698E44C8AB1D.svs	eb9f9c4ef9583dac75a41de23da4d938	654161397	live
3711b971-c783-45eb-b2dd-e764b0d2d5ca	TCGA-ED-A82E-01A-01-TSA.F46F3C25-68E7-49B2-8562-81F0B55E3E73.svs	f53893591033c76fa7713a88cb03f733	236145303	live
6af069e2-3fea-4c83-bb1c-8ee82fd0984f	TCGA-G3-A5SK-01A-01-TSA.D566B541-80F8-4B70-8536-D8621B8E8829.svs	a44b0f6239ac3f3879cb5e973873bd03	231661495	live
73d6a77c-7591-42ab-9a9c-96130f012ab2	TCGA-QA-A7B7-01A-01-TS1.79A9B709-FAD3-423E-ABB1-29570F21EEF7.svs	0b3dc5d4fc6a05fdbe436c388737e566	343045955	live
ad788fd7-9bd5-466b-8bec-512e5c5ae065	TCGA-BW-A5NP-01A-01-TSA.1BF54BFA-80AC-4475-B92D-51BC1458D208.svs	8114796766a60057003cab087e190aed	299559567	live
08d09009-b807-48cd-8a7d-a06fd0e41c57	TCGA-T1-A6J8-01A-01-TS1.8578F500-AD47-4754-B25D-811181EA0313.svs	5204ccf90dcb8cedb947ad2d2eeea695	296686999	live
23260dba-7ede-4ab6-975b-9755f3eb3b60	TCGA-BD-A3ER-01A-01-TSA.AD52195B-02F2-4166-9743-2056D9CE438B.svs	e563800cfb71c2b4b020af082ca65444	276496437	live
b0d6495b-fbf1-4c14-9e66-4157d2465a29	TCGA-G3-AAV4-01A-01-TS1.4B37BDCD-8186-4264-9EBF-506AD7D78BBC.svs	b1679f43ac67a17b2c2d6abff7f92699	411665153	live
319b01cd-fa2d-4b7e-bec7-65bbf94350dd	TCGA-3K-AAZ8-01A-01-TSA.2FE2A5D5-4E48-4128-BFEA-5FDF64AD9765.svs	060c751826c4aae33397dff1f6b16ae8	369330089	live
855c8487-f437-4759-bd10-159d34c063a8	TCGA-DD-AACC-01A-01-TS1.15BF9548-D49B-4C1C-BCF5-346FC12D4A22.svs	dd78b5f5ec46429ba03d1744b090cc5e	210101039	live
8ab61a18-faf3-4ca2-b2be-2eeec6dee3e8	TCGA-WJ-A86L-01A-01-TS1.BB2110E6-35C9-4D54-B0E1-22BAF6696FFA.svs	cd43bfba14d8ebe8ea9502f3f04458e8	201778459	live
73ab936d-b022-4105-b2de-3ea774ad6a89	TCGA-DD-A73C-01A-01-TS1.4165DDED-8199-4FC2-BB0B-8789AB46757E.svs	693ba19a024e606e8e3eb38521d14561	128004295	live
951d544d-015c-4fe2-b4bc-ea70a9b9b95f	TCGA-G3-A7M5-01A-01-TSA.52E13DAD-B681-4AA7-B20C-A3D3D206B7FF.svs	86d9998033cb30da5c8bd651e4a30168	233036561	live
2e01e3c8-e2b2-4e12-8820-3e6a69a5c26a	TCGA-KR-A7K8-01A-01-TS1.C1708F35-0CCE-4AC5-9AF1-48682B756B24.svs	7c00f27c6aeb3e64c565ae670d147a03	189171017	live
bdb74394-e6c4-4e64-8a1d-5aa3e13426a9	TCGA-CC-A7IF-01A-01-TSA.9F5024FE-A9D5-4BF2-AB7C-D01AD953CF39.svs	2aeaa2b4138461927e1205031ab387dd	165055485	live
fff646d4-0acf-45bf-8ed8-b8c60ed5ef33	TCGA-DD-AAD8-01A-01-TS1.2F490B9C-DAFF-4E64-A28C-BE0EED8CEBDF.svs	3f5b0bf939fa91263bad13d17d49b22f	101747543	live
e2e8ac7d-d932-4f8c-8484-9ed8637fc623	TCGA-BC-A10S-01A-02-BSB.06274ba6-8f2c-4a08-afe5-bf84df910e2e.svs	bdb98d883bfd6ebb50d0ef170b20684b	131614085	live
7dd4e6df-87a7-4042-91b0-6fc0c977b412	TCGA-FV-A3R2-11A-01-TS1.EEA8D7D9-27A4-41F9-B501-9E3911187847.svs	056b1411e6fae450253d9344460a0429	85119407	live
aa41946e-646b-402a-9653-19027e55ad2c	TCGA-DD-AAEE-01A-01-TS1.A59A0C0C-A433-47AF-963A-C67A94A05107.svs	caba04b57c6f6f91d876f6c584c72663	172275487	live
ca0599bd-c107-4179-99c3-c0f9564c1cd7	TCGA-MI-A75C-01A-01-TS1.FAE27DA7-D758-4DD8-B155-229BE79879BB.svs	ce42f0a3cd57d3d76728444fefdcc51c	318867007	live
80981fd3-20d8-4d1d-aed0-6d90ee247bd7	TCGA-2Y-A9HA-01A-01-TS1.A9F7A6F0-6286-4B08-AA12-A3D959EB54C0.svs	19dd81e6c389dec71cf969fab5faf320	222043531	live
ee39951b-7712-43e8-af54-9dfd7d4c0b6d	TCGA-DD-AAW3-01A-01-TSA.D5DA7E65-77C7-4D19-992D-ACC0A8AA84A5.svs	3823de2050dee50223f8cf92d18f4ba4	186559031	live
bd5435df-136c-4541-9bdf-8a7d037f6593	TCGA-WQ-AB4B-01A-01-TS1.6A53BDE2-A140-41C6-8E65-F14C59B33453.svs	c3f26a88f84704e3bba3614c6acba515	557217661	live
9522d40a-f177-483c-b799-3577321087ec	TCGA-DD-AAE9-01A-01-TS1.F2DC882F-5BDC-4802-8B6B-91C5B8FADFCE.svs	acee41dce1628e4d2c622a95ac94fa1e	158259661	live
7ed84e98-dcf2-4577-ba2e-0ee784b4dc85	TCGA-DD-AADO-01A-01-TS1.E2E6938C-22E6-44A5-AD99-08AECF60109C.svs	e0b97abdf400fca2d03746f409e6bd66	55631681	live
3162c427-1ae2-4182-a726-144645be595e	TCGA-BC-A10X-01A-01-MS1.736ef683-adc2-4ffe-9370-5c5ba18fb747.svs	0dfd4e40869c051f04620d833a6368f4	433499097	live
0b7cfc4e-6d32-4630-b5a5-e99a3fdc0ced	TCGA-DD-AACF-01A-01-TSA.686A0F26-569A-42D3-BAD3-2EB0A87B4AA1.svs	1b808ce12b74acee645e289183d117c2	239633839	live
71630252-5931-4b64-997f-723b676c5a34	TCGA-DD-AADA-01A-01-TS1.5A804550-586D-4265-9A24-7C4148A85BD0.svs	590086aa4b4841e2e4378c59439bc8d3	100320825	live
940ed433-549c-424d-bb59-8b049a306f48	TCGA-CC-A7IG-01A-01-TSA.747CABDD-A77F-4C93-B7C9-2F479AF15630.svs	51d0e29b358ecc6161eaf8894c221dca	201856203	live
5e0be4d0-691c-4373-b06b-1013ca4ce0d9	TCGA-DD-A4NB-11A-01-TS1.763DACCD-858A-4307-A8C6-4691370A7D5D.svs	0656003f0b9f5d58fb0905b79cc35544	97417627	live
626b990e-2c52-4898-8bab-c2aaeb067862	TCGA-DD-A4NA-01A-01-TS1.18B7DB36-29D2-4464-9FCC-122585E0ADD6.svs	3ceb3bbbf1437f7af1019fbce2ed81aa	333321415	live
43467343-ec98-4638-8fd5-6b4fdcefd396	TCGA-BC-A10Q-11A-01-TS1.e84c8c07-e86d-406d-bf9d-96dde32b6ec7.svs	456290c0cb3b4327035fd82d70f2d8e2	120801247	live
